node_u,node_v,label,common_neighbors,jaccard,adamic_adar,degree_u,degree_v,preferential_attachment,h_index_sum,h_index_diff,citations_sum,citations_diff,area_jaccard
56017313400,7004894512,1,1,0.125,0.9102392266268373,2,7,14,19,13,936,870,0.13953488372093023
57193750121,7004894512,1,1,0.09090909090909091,0.5581106265512472,5,7,35,24,8,1073,733,0.2608695652173913
57201426922,7004894512,1,2,0.25,2.352934267515801,3,7,21,18,14,917,889,0.20930232558139536
57201775007,7004894512,1,0,0.0,0.0,3,7,21,19,13,950,856,0.17391304347826086
57219842800,7004894512,1,1,0.125,0.9102392266268373,2,7,14,17,15,906,900,0.046511627906976744
6505883012,7004894512,1,2,0.25,2.352934267515801,3,7,21,24,8,1124,682,0.3488372093023256
7004894512,7006448661,1,1,0.08333333333333333,0.6213349345596119,7,6,42,29,3,1414,392,0.46808510638297873
14527406600,36967507900,1,7,0.4117647058823529,2.2005440961948017,14,10,140,8,2,139,55,0.15789473684210525
15021715600,36967507900,1,7,0.4375,2.189596032633473,13,10,130,20,14,1216,1132,0.10714285714285714
35449361400,36967507900,1,7,0.11666666666666667,2.3321293309347015,57,10,570,22,16,1762,1678,0.045454545454545456
35997230900,36967507900,1,7,0.1076923076923077,2.337168407360072,62,10,620,21,15,1683,1599,0.037037037037037035
36873751100,36967507900,1,1,0.022727272727272728,0.35295612386476116,35,10,350,15,9,414,330,0.17777777777777778
36967507900,49061004000,1,7,0.5833333333333334,2.124347664571334,10,9,90,8,2,162,78,0.13333333333333333
36967507900,55937582600,1,7,0.5833333333333334,2.124347664571334,10,9,90,12,6,286,202,0.08333333333333333
36967507900,6701547321,1,1,0.038461538461538464,0.28126641406272834,10,17,170,21,15,3395,3311,0.2
36967507900,7005936077,1,7,0.07368421052631578,2.3583158500900883,10,92,920,21,15,1178,1094,0.0392156862745098
36967507900,7102633221,1,7,0.03535353535353535,2.3898218988374658,10,195,1950,39,33,5659,5575,0.03571428571428571
56116349600,57092536700,1,3,0.08333333333333333,0.9306851114628352,35,4,140,65,25,7683,5405,0.5098039215686274
56767436100,57092536700,1,3,0.13043478260869565,0.8884360723768909,22,4,88,41,1,2837,559,0.5555555555555556
57092536700,59313752200,1,3,0.06976744186046512,0.9444051391065094,4,42,168,49,9,4052,1774,0.49122807017543857
57092536700,6601973250,1,3,0.15,0.8723282536304547,4,19,76,38,2,2152,126,0.4
35615066800,35937375900,1,8,0.13114754098360656,2.9271076523152413,60,9,540,73,55,13462,12860,0.0784313725490196
35937375900,56958400900,1,8,0.36363636363636365,2.842888250238163,9,21,189,28,10,1250,648,0.10714285714285714
35937375900,56966260500,1,7,0.3684210526315789,2.3044925227567017,9,17,153,19,1,559,43,0.16666666666666666
35937375900,57191039949,1,8,0.27586206896551724,2.871245360490801,9,28,252,21,3,695,93,0.17647058823529413
35937375900,57193076284,1,7,0.2916666666666667,2.3927119225291227,9,22,198,19,1,541,61,0.4
35937375900,57202498565,1,8,0.27586206896551724,2.871245360490801,9,28,252,21,3,740,138,0.17647058823529413
35937375900,57221977296,1,7,0.3684210526315789,2.304492522756702,9,17,153,15,3,379,223,0.3
35937375900,6506716797,1,6,0.5,1.8788135801593717,9,9,81,18,0,1522,920,0.42857142857142855
35937375900,6701746391,1,5,0.45454545454545453,1.4964167855785222,9,7,63,29,11,1911,1309,0.25
16202211100,7102666167,1,16,0.2077922077922078,4.036513373854856,70,23,1610,54,2,10550,6078,0.20754716981132076
23101024300,7102666167,1,0,0.0,0.0,6,23,138,37,15,2812,1660,0.06666666666666667
23986455300,7102666167,1,18,0.33962264150943394,4.524894601183073,48,23,1104,42,10,3859,613,0.3
35478909000,7102666167,1,19,0.07480314960629922,4.9480771367528895,250,23,5750,110,58,31491,27019,0.20588235294117646
35481219400,7102666167,1,12,0.41379310344827586,3.010543920893839,18,23,414,57,5,6448,1976,0.59375
35597873000,7102666167,1,18,0.5142857142857142,4.4453032752051085,30,23,690,40,12,3384,1088,0.3103448275862069
35758609900,7102666167,1,15,0.2830188679245283,3.687460518708731,45,23,1035,33,19,2328,2144,0.11764705882352941
36573321300,7102666167,1,18,0.5142857142857142,4.445303275205108,30,23,690,38,14,2815,1657,0.21875
55321897700,7102666167,1,1,0.022222222222222223,0.3396232718951086,23,23,529,36,16,2551,1921,0.2222222222222222
55561799200,7102666167,1,8,0.2857142857142857,1.8444100166409694,13,23,299,31,21,2300,2172,0.32
57117690500,7102666167,1,18,0.140625,4.575406530526261,123,23,2829,47,5,4842,370,0.2826086956521739
57199676160,7102666167,1,16,0.3404255319148936,3.8868786365049175,40,23,920,37,15,2681,1791,0.38461538461538464
57201314197,7102666167,1,18,0.5142857142857142,4.445303275205108,30,23,690,30,22,2300,2172,0.16
57210691053,7102666167,1,18,0.5,4.448110702780352,31,23,713,31,21,2401,2071,0.28
57218595835,7102666167,1,16,0.5517241379310345,3.8344482140380616,22,23,506,29,23,2307,2165,0.28
6505881924,7102666167,1,17,0.19540229885057472,4.165781316082412,81,23,1863,48,4,3835,637,0.2558139534883721
6505883465,7102666167,1,18,0.1836734693877551,4.518693429871221,93,23,2139,45,7,3220,1252,0.36363636363636365
6507189055,7102666167,1,1,0.024390243902439025,0.318928988903801,19,23,437,36,16,2555,1917,0.17142857142857143
6602404361,7102666167,1,19,0.16379310344827586,4.917256815581791,112,23,2576,52,0,4966,494,0.30434782608695654
7003572956,7102666167,1,18,0.140625,4.658685475773591,123,23,2829,80,28,15412,10940,0.2898550724637681
7003959774,7102666167,1,19,0.1130952380952381,4.9331050573283255,164,23,3772,68,16,8611,4139,0.21052631578947367
7004074021,7102666167,1,17,0.17525773195876287,4.17165388141509,91,23,2093,55,3,4905,433,0.26666666666666666
7102666167,7103040365,1,18,0.10227272727272728,4.544827796200735,23,171,3933,46,6,4317,155,0.2765957446808511
