Método,Split,AUC-ROC,Avg Prec,F1,Precision,Recall
xgboost,test,0.9597,0.9577,0.6914,0.9788,0.5345
random_forest,test,0.9473,0.9496,0.7268,0.9770,0.5786
katz,test,0.9057,0.9111,0.0000,0.0000,0.0000
adamic_adar,test,0.7902,0.7894,0.5078,0.9881,0.3417
jaccard,test,0.7902,0.7883,0.0049,1.0000,0.0025
common_neighbors,test,0.7899,0.7871,0.7366,0.9775,0.5910
xgboost,val,0.9622,0.9603,0.7180,0.9780,0.5672
random_forest,val,0.9483,0.9501,0.7434,0.9713,0.6022
katz,val,0.9026,0.9061,0.0000,0.0000,0.0000
adamic_adar,val,0.8021,0.8024,0.5379,0.9931,0.3689
common_neighbors,val,0.8015,0.7991,0.7537,0.9719,0.6155
jaccard,val,0.8005,0.7978,0.0070,1.0000,0.0035
