Método,Split,AUC-ROC,Avg Prec,F1,Precision,Recall
xgboost,test,0.9591,0.9575,0.7148,0.9764,0.5638
random_forest,test,0.9466,0.9476,0.7077,0.9775,0.5547
katz,test,0.9142,0.9183,0.0000,0.0000,0.0000
adamic_adar,test,0.8105,0.8113,0.5676,0.9897,0.3979
common_neighbors,test,0.8104,0.8087,0.7669,0.9685,0.6348
jaccard,test,0.8085,0.8050,0.0049,1.0000,0.0025
xgboost,val,0.9652,0.9636,0.7387,0.9820,0.5920
random_forest,val,0.9556,0.9574,0.7331,0.9808,0.5853
katz,val,0.9172,0.9197,0.0000,0.0000,0.0000
adamic_adar,val,0.8223,0.8213,0.5997,0.9876,0.4306
common_neighbors,val,0.8217,0.8186,0.7842,0.9749,0.6560
jaccard,val,0.8211,0.8182,0.0070,1.0000,0.0035
